WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Minnen G.,61,64,1023,999,5,7,6,3,6,1,2,1,Completed,1.73,2.1,1.71,2.22,1.8,2.22,1.72,2.11
2,Brisbane,Brisbane International,1/1/2024,WTA500,Outdoor,Hard,1st Round,3,Osaka N.,Korpatsch T.,N/A,83,N/A,847,6,3,7,6,,,2,0,Completed,1.29,3.75,1.3,3.79,1.35,3.79,1.31,3.42
2,Brisbane,Brisbane International,1/1/2024,WTA500,Outdoor,Hard,1st Round,3,Saville D.,Yastremska D.,209,98,366,767,6,0,6,4,,,2,0,Completed,3,1.4,2.81,1.48,3,1.49,2.79,1.43
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Noskova L.,Babos T.,40,192,1278,404,5,7,7,6,7,6,2,1,Completed,1.2,4.5,1.24,4.35,1.24,4.66,1.21,4.33
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Bronzetti L.,Krueger A.,52,78,1137,896,6,4,7,5,,,2,0,Completed,2.2,1.67,2.15,1.76,2.2,1.76,2.18,1.67
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Gadecki O.,Birrell K.,124,115,607,671,4,6,6,0,6,4,2,1,Completed,1.53,2.5,1.54,2.6,1.55,2.75,1.52,2.51
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Burel C.,Sonmez Z.,56,163,1081,478,6,4,6,2,,,2,0,Completed,1.33,3.4,1.39,3.18,1.39,3.4,1.36,3.17
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Riera J.,Tomova V.,137,75,563,906,6,2,6,4,,,2,0,Completed,2.5,1.53,2.58,1.55,2.6,1.6,2.47,1.54
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Collins D.,Baptiste H.,54,129,1090,583,6,1,4,6,6,3,2,1,Completed,1.25,4,1.28,3.98,1.29,4,1.26,3.82
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,2nd Round,3,Rodionova Ar.,Kenin S.,113,37,677,1334,7,5,7,6,,,2,0,Completed,3.75,1.29,3.97,1.28,4,1.33,3.68,1.28
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Kalinskaya A.,23,80,1916,887,6,1,7,6,,,2,0,Completed,1.91,1.91,2.03,1.85,2.03,2,1.93,1.87
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova V.,Schmiedlova A.,16,73,2720,918,6,2,6,3,,,2,0,Completed,1.2,4.5,1.2,5.03,1.21,5.16,1.19,4.58
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Potapova A.,Saville D.,28,209,1611,366,6,4,3,6,6,4,2,1,Completed,1.5,2.63,1.58,2.49,1.58,2.63,1.53,2.49
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Osaka N.,39,N/A,1287,N/A,3,6,7,6,6,4,2,1,Completed,2.5,1.53,2.5,1.58,2.51,1.63,2.4,1.56
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Cirstea S.,40,26,1278,1800,6,4,4,6,6,4,2,1,Completed,1.8,2,1.83,2.05,1.83,2.05,1.79,2
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Bronzetti L.,2,52,9050,1137,6,3,6,0,,,2,0,Completed,1.05,11,1.05,14.42,1.05,14.42,1.04,11.27
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Kostyuk M.,18,38,2715,1316,6,3,6,4,,,2,0,Completed,1.91,1.91,1.98,1.89,2,1.96,1.92,1.87
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Riera J.,Alexandrova E.,137,21,563,2075,6,3,6,4,,,2,0,Completed,4.33,1.22,4.02,1.27,5.16,1.27,4.1,1.23
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Ostapenko J.,Giorgi C.,12,55,2830,1089,6,1,6,4,,,2,0,Completed,1.62,2.3,1.65,2.34,1.65,2.38,1.62,2.28
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Burel C.,Kalinina A.,56,27,1081,1630,6,4,6,1,,,2,0,Completed,2,1.8,2.04,1.84,2.04,1.95,1.96,1.84
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Samsonova L.,58,15,1060,2760,6,2,6,1,,,2,0,Completed,1.8,2,1.84,2.04,1.98,2.05,1.82,1.99
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Linette M.,Bucsa C.,22,61,1921,1023,6,3,7,5,,,2,0,Completed,2,1.8,2.01,1.86,2.1,1.89,1.99,1.8
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Mertens E.,Stephens S.,30,44,1506,1200,2,6,6,1,6,3,2,1,Completed,1.67,2.2,1.68,2.28,1.68,2.33,1.64,2.23
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Gadecki O.,4,124,6366,607,6,4,6,1,,,2,0,Completed,1.08,8,1.1,8.46,1.1,9.3,1.08,7.89
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Zhu L.,Collins D.,33,54,1420,1090,1,6,6,3,7,6,2,1,Completed,3.5,1.3,3.9,1.29,3.9,1.3,3.68,1.28
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Azarenka V.,Burel C.,23,56,1916,1081,7,5,6,2,,,2,0,Completed,1.44,2.75,1.43,3.03,1.49,3.04,1.44,2.77
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Noskova L.,Riera J.,40,137,1278,563,6,1,6,7,6,3,2,1,Completed,1.4,3,1.41,3.13,1.42,3.14,1.4,2.93
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Ostapenko J.,Pliskova Ka.,12,39,2830,1287,6,2,4,6,6,3,2,1,Completed,1.53,2.5,1.56,2.59,1.58,2.59,1.54,2.46
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Kasatkina D.,Linette M.,18,22,2715,1921,6,4,6,2,,,2,0,Completed,1.4,3,1.45,2.93,1.47,3.25,1.41,2.86
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Andreeva M.,Rodionova Ar.,58,113,1060,677,6,1,6,1,,,2,0,Completed,1.08,8,1.12,7.36,1.12,9.5,1.08,7.7
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Potapova A.,Kudermetova V.,28,16,1611,2720,7,5,6,7,6,4,2,1,Completed,3,1.4,3.11,1.41,3.11,1.46,2.91,1.4
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Rybakina E.,Mertens E.,4,30,6366,1506,6,1,6,0,,,2,0,Completed,1.29,3.75,1.3,3.87,1.3,4,1.27,3.72
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Zhu L.,2,33,9050,1420,6,1,6,0,,,2,0,Completed,1.05,11,1.05,13.83,1.06,14.01,1.04,10.54
2,Brisbane,Brisbane International,1/5/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Azarenka V.,Ostapenko J.,23,12,1916,2830,6,3,3,6,7,5,2,1,Completed,1.91,1.91,2.02,1.89,2.02,1.99,1.91,1.89
2,Brisbane,Brisbane International,1/5/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Rybakina E.,Potapova A.,4,28,6366,1611,6,1,,,,,1,0,Retired,1.11,6.5,1.14,6.98,1.15,7.09,1.12,6.16
2,Brisbane,Brisbane International,1/5/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Noskova L.,Andreeva M.,40,58,1278,1060,7,5,6,3,,,2,0,Completed,4,1.25,4.24,1.27,4.65,1.27,4.02,1.24
2,Brisbane,Brisbane International,1/5/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Kasatkina D.,2,18,9050,2715,6,1,6,4,,,2,0,Completed,1.11,6.5,1.14,6.8,1.14,8.5,1.12,6.38
2,Brisbane,Brisbane International,1/6/2024,WTA500,Outdoor,Hard,Semifinals,3,Rybakina E.,Noskova L.,4,40,6366,1278,6,3,6,2,,,2,0,Completed,1.14,5.5,1.2,5.31,1.2,5.58,1.17,5.01
2,Brisbane,Brisbane International,1/6/2024,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Azarenka V.,2,23,9050,1916,6,2,6,4,,,2,0,Completed,1.13,6,1.17,5.96,1.18,6.19,1.15,5.5
2,Brisbane,Brisbane International,1/7/2024,WTA500,Outdoor,Hard,The Final,3,Rybakina E.,Sabalenka A.,4,2,6366,9050,6,0,6,3,,,2,0,Completed,1.91,1.91,2.03,1.88,5,1.4,5,1.4
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Kalinina A.,41,28,1223,1630,7,6,6,1,,,2,0,Completed,1.67,2.2,1.69,2.26,1.7,2.27,1.66,2.2
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Haddad Maia B.,59,11,1046,2920,6,3,6,4,,,2,0,Completed,2.2,1.67,2.28,1.68,2.34,1.71,2.2,1.66
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Paolini J.,61,30,1035,1530,6,3,6,3,,,2,0,Completed,3.4,1.33,3.43,1.35,3.45,1.4,3.26,1.33
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Krejcikova B.,75,10,918,2945,7,5,3,6,7,5,2,1,Completed,2,1.8,2.09,1.8,2.25,1.8,2.08,1.75
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Bogdan A.,Boulter K.,66,57,956,1085,,3,6,4,,,2,0,Completed,2.5,1.53,3.46,1.33,4.4,1.53,3.35,1.37
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Pera B.,Badosa P.,69,74,943,922,3,6,6,2,6,3,2,1,Completed,2.63,1.5,3.29,1.37,3.29,1.52,2.85,1.42
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Siegemund L.,Samsonova L.,89,14,814,2760,6,7,6,4,6,4,2,1,Completed,4.33,1.22,3.93,1.28,4.34,1.3,3.85,1.26
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Cirstea S.,12,26,2883,1746,2,6,6,2,6,4,2,1,Completed,1.5,2.63,1.56,2.56,1.57,2.63,1.53,2.48
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Garcia C.,Preston T.,20,203,2330,382,6,4,1,6,6,3,2,1,Completed,1.14,5.5,1.16,5.71,1.18,5.92,1.15,5.38
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Kudermetova V.,Krueger A.,16,78,2680,896,6,2,7,5,,,2,0,Completed,1.3,3.5,1.33,3.53,1.33,3.59,1.31,3.44
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Siniakova K.,Pliskova Ka.,49,37,1150,1346,6,2,6,1,,,2,0,Completed,2.1,1.73,2.14,1.76,2.14,1.77,2.08,1.73
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Liu C.,15,104,2758,730,6,4,6,3,,,2,0,Completed,1.33,3.4,1.43,2.98,1.44,3.4,1.41,2.88
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Alexandrova E.,Linette M.,21,24,2075,1896,3,6,7,6,7,5,2,1,Completed,1.62,2.3,1.67,2.45,1.67,2.45,1.61,2.3
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Townsend T.,Sasnovich A.,80,83,870,831,6,3,7,6,,,2,0,Completed,2.2,1.67,2.2,1.71,2.22,1.71,2.21,1.68
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Pera B.,5,69,5905,943,4,6,6,2,6,3,2,1,Completed,1.08,8,1.11,7.77,1.13,8,1.1,6.87
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Siegemund L.,Bogdan A.,89,66,814,956,6,4,7,5,,,2,0,Completed,2.1,1.73,2.01,1.88,2.15,1.88,2.02,1.78
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Siniakova K.,59,49,1046,1150,2,6,6,3,6,2,2,1,Completed,1.73,2.1,1.79,2.12,1.87,2.12,1.79,2.01
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Townsend T.,41,80,1223,870,6,3,2,6,6,4,2,1,Completed,1.5,2.63,1.53,2.65,1.57,2.75,1.52,2.52
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Ostapenko J.,Garcia C.,12,20,2883,2330,6,4,5,7,6,4,2,1,Completed,1.62,2.3,1.6,2.48,1.64,2.5,1.59,2.34
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Kalinskaya A.,15,75,2758,918,5,7,6,4,7,5,2,1,Completed,1.62,2.3,1.81,2.1,1.81,2.3,1.67,2.19
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Bucsa C.,3,61,6811,1035,6,3,7,5,,,2,0,Completed,1.07,9,1.07,11.73,1.07,11.73,1.06,9.37
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Alexandrova E.,Kudermetova V.,21,16,2075,2680,6,4,6,4,,,2,0,Completed,2.5,1.53,2.53,1.58,2.6,1.62,2.47,1.53
3,Adelaide,Adelaide International,1/11/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Ostapenko J.,Kostyuk M.,12,41,2883,1223,7,5,6,3,,,2,0,Completed,1.53,2.5,1.57,2.57,1.57,2.68,1.52,2.52
3,Adelaide,Adelaide International,1/11/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Kasatkina D.,Siegemund L.,15,89,2758,814,,,,,,,,,Walkover,1.36,3.2,1.4,3.23,1.45,3.5,1.37,3.1
3,Adelaide,Adelaide International,1/11/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Pegula J.,Pavlyuchenkova A.,5,59,5905,1046,6,7,7,5,6,4,2,1,Completed,1.3,3.5,1.4,3.24,1.4,3.54,1.33,3.29
3,Adelaide,Adelaide International,1/11/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Alexandrova E.,Rybakina E.,21,3,2075,6811,6,3,6,3,,,2,0,Completed,4.5,1.2,4.49,1.25,4.6,1.25,4.31,1.21
3,Adelaide,Adelaide International,1/12/2024,WTA500,Outdoor,Hard,Semifinals,3,Ostapenko J.,Alexandrova E.,12,21,2883,2075,6,2,7,6,,,2,0,Completed,1.8,2,1.93,1.98,1.93,2.08,1.84,1.97
3,Adelaide,Adelaide International,1/12/2024,WTA500,Outdoor,Hard,Semifinals,3,Kasatkina D.,Pegula J.,15,5,2758,5905,,,,,,,,,Walkover,3.4,1.33,3.44,1.36,3.44,1.37,3.25,1.34
3,Adelaide,Adelaide International,1/13/2024,WTA500,Outdoor,Hard,The Final,3,Ostapenko J.,Kasatkina D.,12,15,2883,2758,6,3,6,2,,,2,0,Completed,1.57,2.38,1.59,2.54,1.62,2.6,1.57,2.4
4,Hobart,Hobart International,1/8/2024,WTA250,Outdoor,Hard,1st Round,3,Gracheva V.,Stearns P.,39,48,1290,1168,7,6,3,6,7,5,2,1,Completed,2.1,1.73,2.08,1.81,2.14,1.81,2.07,1.74
4,Hobart,Hobart International,1/8/2024,WTA250,Outdoor,Hard,1st Round,3,Rus A.,Fruhvirtova L.,50,85,1149,829,6,3,5,7,6,3,2,1,Completed,2.38,1.57,2.41,1.62,2.43,1.62,2.32,1.6
4,Hobart,Hobart International,1/8/2024,WTA250,Outdoor,Hard,1st Round,3,Schmiedlova A.,Osorio M.,67,79,949,876,1,6,7,6,7,5,2,1,Completed,2.3,1.62,2.36,1.64,2.36,1.73,2.26,1.62
4,Hobart,Hobart International,1/8/2024,WTA250,Outdoor,Hard,1st Round,3,Mertens E.,Collins D.,29,54,1551,1121,6,2,6,3,,,2,0,Completed,2.1,1.73,2.15,1.76,2.2,1.78,2.11,1.72
4,Hobart,Hobart International,1/8/2024,WTA250,Outdoor,Hard,1st Round,3,Saville D.,Blinkova A.,195,46,398,1170,3,6,6,4,6,4,2,1,Completed,1.8,2,1.85,2.03,1.91,2.05,1.81,1.98
4,Hobart,Hobart International,1/8/2024,WTA250,Outdoor,Hard,1st Round,3,Zhu L.,Bronzetti L.,33,56,1420,1099,7,5,6,1,,,2,0,Completed,1.67,2.2,1.73,2.2,1.73,2.25,1.68,2.18
4,Hobart,Hobart International,1/9/2024,WTA250,Outdoor,Hard,1st Round,3,Dolehide C.,Sherif M.,44,58,1193,1053,6,1,6,4,,,2,0,Completed,1.53,2.5,1.59,2.47,1.59,2.66,1.55,2.44
4,Hobart,Hobart International,1/9/2024,WTA250,Outdoor,Hard,1st Round,3,Tomova V.,Trevisan M.,77,60,906,1045,6,3,6,3,,,2,0,Completed,2.2,1.67,2.09,1.8,2.36,1.82,2.1,1.73
