WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Granville L.,Oprandi R.,68.0,53.0,372.5,421.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.66,2.1,1.69,2.1,1.68,2.1,1.649,2.44,1.7,2.1
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,24.0,118.0,781.0,258.5,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.14,5,1.14,5.25,1.18,4.5,1.178,6.11,1.15,5.1
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Jankovic J.,Schruff J.,12.0,82.0,1211.0,326.75,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.12,5.5,1.12,5.65,1.15,5.0,1.159,6.7,1.14,5.25
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,70.0,59.0,365.5,401.75,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.72,2,1.72,2.05,1.8,1.95,1.741,2.25,1.75,2.0
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,2nd Round,3,Loit E.,Bartoli M.,56.0,18.0,418.5,951.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,3.25,1.28,4.0,1.22,3.75,1.25,4.38,1.272,3.5,1.28
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Suarez P.,Sun T.T.,178.0,81.0,155.75,332.25,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.53,2.37,1.5,2.5,1.5,2.5,1.595,2.58,1.57,2.33
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Daniilidou E.,Erakovic M.,36.0,162.0,538.75,171.0,6.0,4.0,2.0,6.0,6.0,4.0,2.0,1.0,Completed,1.22,4,1.22,4.0,1.25,3.75,1.303,4.0,,
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Pin C.,Meusburger Y.,75.0,135.0,349.0,210.75,2.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.53,2.37,1.55,2.35,1.5,2.5,1.654,2.43,1.57,2.33
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Jankovic J.,Laine E.,12.0,74.0,1211.0,349.75,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.14,5,1.1,6.3,1.14,5.2,1.149,7.1,1.14,5.3
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Razzano V.,Hantuchova D.,88.0,17.0,319.0,986.0,6.0,1.0,7.0,5.0,,,2.0,0.0,Completed,3.25,1.28,3.05,1.35,3.46,1.28,3.96,1.307,3.5,1.28
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Zvonareva V.,Granville L.,24.0,68.0,781.0,372.5,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.28,3.25,1.25,3.7,1.25,3.75,1.234,4.87,1.28,3.5
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,Quarterfinals,3,Pin C.,Loit E.,75.0,56.0,349.0,418.5,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.2,1.61,2.2,1.63,2.15,1.65,2.21,1.763,2.05,1.73
1,Auckland,ASB Classic,2007-01-04,Tier 4,Outdoor,Hard,Quarterfinals,3,Craybas J.,Suarez P.,70.0,178.0,365.5,155.75,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,2.0,1.72,1.95,1.8,1.95,1.8,2.2,1.769,1.98,1.78
1,Auckland,ASB Classic,2007-01-04,Tier 4,Outdoor,Hard,Quarterfinals,3,Jankovic J.,Daniilidou E.,12.0,36.0,1211.0,538.75,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.19,4,1.17,4.65,1.2,4.25,1.241,4.75,1.23,4.0
1,Auckland,ASB Classic,2007-01-04,Tier 4,Outdoor,Hard,Quarterfinals,3,Zvonareva V.,Razzano V.,24.0,88.0,781.0,319.0,7.0,5.0,2.0,0.0,,,1.0,0.0,Retired,1.28,3.25,1.33,3.15,1.3,3.3,1.394,3.34,1.29,3.45
1,Auckland,ASB Classic,2007-01-05,Tier 4,Outdoor,Hard,Semifinals,3,Jankovic J.,Pin C.,12.0,75.0,1211.0,349.0,3.0,0.0,,,,,0.0,0.0,Retired,1.11,6,1.1,6.3,1.1,6.25,1.098,9.25,1.08,7.4
1,Auckland,ASB Classic,2007-01-05,Tier 4,Outdoor,Hard,Semifinals,3,Zvonareva V.,Craybas J.,24.0,70.0,781.0,365.5,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.25,3.75,1.28,3.5,1.28,3.46,1.299,4.04,1.27,3.6
1,Auckland,ASB Classic,2007-01-06,Tier 4,Outdoor,Hard,The Final,3,Jankovic J.,Zvonareva V.,12.0,24.0,1211.0,781.0,7.0,6.0,5.0,7.0,6.0,3.0,2.0,1.0,Completed,1.53,2.37,1.55,2.35,1.53,2.4,1.625,2.5,1.57,2.33
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Castano C.,Golds S.,54.0,599.0,420.75,20.75,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.14,5,,,1.15,5.0,1.143,7.3,1.12,5.8
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Sequera M.,Ivanova E.,103.0,183.0,280.25,148.25,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.66,2.1,1.58,2.3,,,1.69,2.35,1.6,2.27
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Bremond S.,Benesova I.,40.0,58.0,521.0,402.25,0.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,1.72,2,1.85,1.9,1.67,2.12,1.746,2.24,1.7,2.1
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Hingis M.,Bammer S.,7.0,49.0,2018.0,430.25,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.08,6.5,1.09,6.6,1.07,7.35,1.095,9.49,1.08,7.0
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Vesnina E.,Camerin M.E.,47.0,50.0,445.25,426.5,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.57,2.25,1.58,2.3,1.63,2.2,1.714,2.3,1.57,2.33
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Ferguson S.,Sugiyama A.,184.0,26.0,146.5,716.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,5.0,1.14,5.65,1.12,4.65,1.17,5.25,1.215,,
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Peer S.,Shaughnessy M.,20.0,37.0,894.0,531.0,6.0,1.0,5.0,7.0,6.0,0.0,2.0,1.0,Completed,1.25,3.5,1.33,3.15,1.29,3.4,1.303,4.0,1.28,3.5
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Li N.,Zahlavova S.,21.0,156.0,875.75,176.0,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,1.16,4.5,1.13,5.4,,,,,,
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Srebotnik K.,King V.,23.0,60.0,819.0,398.75,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.37,1.6,2.25,1.57,2.3,1.621,2.51,,
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Poutchkova O.,Fedak Y.,39.0,80.0,525.25,334.0,6.0,7.0,7.0,6.0,6.0,3.0,2.0,1.0,Completed,1.5,2.5,1.45,2.65,1.5,2.5,1.446,3.04,1.5,2.5
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Garbin T.,Groenefeld A.L.,38.0,19.0,529.75,922.0,7.0,6.0,6.0,7.0,6.0,3.0,2.0,1.0,Completed,2.0,1.72,1.85,1.9,2.0,1.75,1.971,1.935,2.16,1.66
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Ivanovic A.,Vinci R.,14.0,85.0,1053.0,324.0,7.0,5.0,6.0,1.0,,,2.0,0.0,Completed,1.19,4,1.22,4.0,1.2,4.25,1.24,4.76,1.2,4.3
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Pratt N.,Bovina E.,77.0,1431.0,344.75,2.0,6.0,2.0,6.0,7.0,6.0,1.0,2.0,1.0,Completed,1.57,2.25,1.72,2.05,,,1.685,2.36,1.88,1.88
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Kirilenko M.,Pennetta F.,30.0,28.0,637.0,692.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,2.37,1.53,2.35,1.55,2.2,1.63,2.55,1.606,2.0,1.77
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Stosur S.,Peng S.,29.0,55.0,685.0,419.0,5.0,7.0,6.0,2.0,6.0,1.0,2.0,1.0,Completed,1.44,2.62,1.36,3.0,1.45,2.65,1.465,2.95,1.57,2.33
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-02,Tier 3,Outdoor,Hard,1st Round,3,Safina D.,Likhovtseva E.,11.0,43.0,1390.0,462.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.28,3.25,1.3,3.35,1.28,3.46,1.361,3.57,1.35,3.1
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-02,Tier 3,Outdoor,Hard,2nd Round,3,Castano C.,Li N.,54.0,21.0,420.75,875.75,6.0,4.0,1.0,6.0,6.0,2.0,2.0,1.0,Completed,4.0,1.19,4.0,1.22,4.25,1.2,5.0,1.227,3.75,1.25
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-02,Tier 3,Outdoor,Hard,2nd Round,3,Garbin T.,Bremond S.,38.0,40.0,529.75,521.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.9,1.8,1.85,1.9,1.91,1.83,1.877,2.04,2.0,1.77
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-02,Tier 3,Outdoor,Hard,2nd Round,3,Vesnina E.,Srebotnik K.,47.0,23.0,445.25,819.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,2.5,1.5,2.5,1.5,2.65,1.45,2.92,1.472,2.4,1.55
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-02,Tier 3,Outdoor,Hard,2nd Round,3,Hingis M.,Pratt N.,7.0,77.0,2018.0,344.75,6.0,0.0,6.0,1.0,,,2.0,0.0,Completed,1.04,9,1.03,10.5,1.03,10.0,1.05,16.0,1.05,10.0
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-03,Tier 3,Outdoor,Hard,2nd Round,3,Peer S.,Poutchkova O.,20.0,39.0,894.0,525.25,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.28,3.25,1.28,3.5,1.28,3.46,1.325,3.78,1.3,3.35
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-03,Tier 3,Outdoor,Hard,2nd Round,3,Ivanovic A.,Sequera M.,14.0,103.0,1053.0,280.25,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.1,6,1.1,6.3,1.1,6.25,1.123,8.3,1.12,5.8
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-03,Tier 3,Outdoor,Hard,2nd Round,3,Safina D.,Kirilenko M.,11.0,30.0,1390.0,637.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.39,2.75,1.45,2.65,1.36,3.0,1.452,3.01,1.4,2.85
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-03,Tier 3,Outdoor,Hard,2nd Round,3,Stosur S.,Ferguson S.,29.0,184.0,685.0,146.5,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.12,5.5,1.13,5.4,1.12,5.65,1.134,7.77,1.15,5.1
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-04,Tier 3,Outdoor,Hard,Quarterfinals,3,Garbin T.,Vesnina E.,38.0,47.0,529.75,445.25,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,2.37,1.53,2.4,1.53,2.5,1.5,2.63,1.578,2.37,1.55
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-04,Tier 3,Outdoor,Hard,Quarterfinals,3,Peer S.,Ivanovic A.,20.0,14.0,894.0,1053.0,5.0,7.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,2.37,1.53,2.5,1.5,2.5,1.5,2.47,1.637,2.32,1.58
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-04,Tier 3,Outdoor,Hard,Quarterfinals,3,Safina D.,Stosur S.,11.0,29.0,1390.0,685.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.37,1.53,2.4,1.55,2.35,1.61,2.54,1.56,2.35
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-04,Tier 3,Outdoor,Hard,Quarterfinals,3,Hingis M.,Castano C.,7.0,54.0,2018.0,420.75,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.04,9,1.04,10.0,1.03,11.0,1.043,19.0,1.03,12.0
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-05,Tier 3,Outdoor,Hard,Semifinals,3,Hingis M.,Garbin T.,7.0,38.0,2018.0,529.75,3.0,4.0,,,,,0.0,0.0,Retired,1.05,8,1.04,10.0,1.05,8.5,1.065,13.4,1.05,10.0
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-05,Tier 3,Outdoor,Hard,Semifinals,3,Safina D.,Peer S.,11.0,20.0,1390.0,894.0,4.0,6.0,7.0,6.0,6.0,1.0,2.0,1.0,Completed,1.57,2.25,1.6,2.25,1.58,2.3,1.735,2.26,1.6,2.28
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-06,Tier 3,Outdoor,Hard,The Final,3,Safina D.,Hingis M.,11.0,7.0,1390.0,2018.0,6.0,3.0,3.0,6.0,7.0,5.0,2.0,1.0,Completed,3.0,1.36,2.5,1.5,3.0,1.35,3.28,1.403,3.15,1.34
3,Hobart,Moorilla Hobart International,2007-01-07,Tier 4,Outdoor,Hard,1st Round,3,Chakvetadze A.,Dominguez Lino L.,13.0,51.0,1144.0,421.75,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,,,1.13,5.4,1.12,5.65,1.167,6.4,,
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Oprandi R.,Likhovtseva E.,52.0,44.0,421.0,451.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,,,2.9,1.38,,,2.86,1.485,,
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Castano C.,Vinci R.,46.0,83.0,449.0,331.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,2.0,1.72,2.2,1.63,,,2.5,1.625,2.1,1.7
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Bremond S.,Krajicek M.,38.0,37.0,537.0,542.0,3.0,6.0,6.0,1.0,6.0,0.0,2.0,1.0,Completed,2.62,1.44,2.65,1.45,2.8,1.4,2.93,1.469,2.65,1.45
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Santangelo M.,Camerin M.E.,30.0,50.0,611.5,426.5,7.0,5.0,2.0,6.0,6.0,3.0,2.0,1.0,Completed,1.57,2.25,1.53,2.4,,,1.571,2.65,1.65,2.18
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Mirza S.,Kirilenko M.,66.0,29.0,382.0,633.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.83,1.83,1.87,1.87,1.87,1.87,1.885,2.03,1.9,1.86
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Safarova L.,Muller M.,74.0,36.0,356.0,545.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.53,2.37,1.55,2.45,1.53,2.4,1.617,2.52,1.5,2.5
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Bammer S.,Harkleroad A.,56.0,87.0,415.25,320.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,2.0,1.72,2.1,1.69,,,1.833,2.1,,
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Vesnina E.,28.0,42.0,684.0,469.75,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.72,2,1.8,1.95,1.75,2.0,2.06,1.862,1.82,1.94
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Molik A.,Kostanic J.,165.0,53.0,169.75,420.25,4.0,6.0,6.0,1.0,6.0,2.0,2.0,1.0,Completed,1.33,3,1.28,3.5,1.28,3.46,1.333,3.7,1.35,3.1
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Bondarenko A.,Moore J.,32.0,992.0,585.75,6.75,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.07,7,1.1,6.3,1.08,6.99,1.08,11.0,,
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Zheng J.,Foretz S.,34.0,111.0,560.75,266.25,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,,,,,,,1.481,2.88,,
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Bardina V.,Dulko G.,70.0,55.0,365.5,415.75,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,,,,,,,,,,
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Nakamura A.,Pennetta F.,64.0,31.0,390.0,608.0,7.0,5.0,7.0,5.0,,,2.0,0.0,Completed,,,,,,,,,,
3,Hobart,Moorilla Hobart International,2007-01-08,Tier 4,Outdoor,Hard,1st Round,3,Williams S.,Arvidsson S.,94.0,60.0,301.0,395.75,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.12,5,1.11,6.0,1.12,5.65,1.131,7.95,1.12,5.75
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,1st Round,3,Poutchkova O.,Obziler T.,39.0,123.0,533.75,237.0,0.0,6.0,6.0,2.0,7.0,6.0,2.0,1.0,Completed,1.57,2.25,1.65,2.15,,,1.633,2.48,,
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Zheng J.,Bremond S.,34.0,38.0,560.75,537.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.44,2.62,1.43,2.7,1.45,2.65,1.51,2.81,1.45,2.65
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Castano C.,Santangelo M.,46.0,30.0,449.0,611.5,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,2.1,1.66,2.1,1.69,2.12,1.67,2.38,1.676,2.15,1.67
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Bammer S.,Medina Garrigues A.,56.0,28.0,415.25,684.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.75,1.39,3.5,1.28,2.8,1.4,3.43,1.38,3.0,1.37
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Williams S.,Safarova L.,94.0,74.0,301.0,356.0,6.0,3.0,3.0,6.0,7.0,6.0,2.0,1.0,Completed,1.19,4,1.2,4.25,1.2,4.2,1.21,5.36,1.2,4.3
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Bardina V.,Nakamura A.,70.0,64.0,365.5,390.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.83,1.83,1.9,1.85,1.83,1.91,1.917,1.99,1.88,1.88
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Chakvetadze A.,Poutchkova O.,13.0,39.0,1144.0,533.75,7.0,6.0,7.0,5.0,,,2.0,0.0,Completed,,,,,,,,,,
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Mirza S.,Oprandi R.,66.0,52.0,382.0,421.0,6.0,7.0,6.0,3.0,6.0,0.0,2.0,1.0,Completed,1.36,3,1.3,3.35,1.36,3.0,1.362,3.56,1.37,3.0
3,Hobart,Moorilla Hobart International,2007-01-09,Tier 4,Outdoor,Hard,2nd Round,3,Molik A.,Bondarenko A.,165.0,32.0,169.75,585.75,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.72,2,1.75,2.0,1.72,2.05,1.752,2.23,1.77,2.0
3,Hobart,Moorilla Hobart International,2007-01-10,Tier 4,Outdoor,Hard,Quarterfinals,3,Bardina V.,Castano C.,70.0,46.0,365.5,449.0,3.0,6.0,6.0,2.0,7.0,5.0,2.0,1.0,Completed,2.1,1.66,2.05,1.72,2.0,1.75,2.11,1.826,2.0,1.77
3,Hobart,Moorilla Hobart International,2007-01-10,Tier 4,Outdoor,Hard,Quarterfinals,3,Mirza S.,Molik A.,66.0,165.0,382.0,169.75,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.83,1.83,1.87,1.87,1.87,1.87,2.08,1.847,1.92,1.84
3,Hobart,Moorilla Hobart International,2007-01-10,Tier 4,Outdoor,Hard,Quarterfinals,3,Chakvetadze A.,Zheng J.,13.0,34.0,1144.0,560.75,4.0,6.0,6.0,1.0,6.0,1.0,2.0,1.0,Completed,1.39,2.75,1.45,2.65,1.45,2.65,1.403,3.28,1.43,2.72
3,Hobart,Moorilla Hobart International,2007-01-10,Tier 4,Outdoor,Hard,Quarterfinals,3,Bammer S.,Williams S.,56.0,94.0,415.25,301.0,3.0,6.0,7.0,5.0,6.0,3.0,2.0,1.0,Completed,5.0,1.14,4.85,1.16,4.25,1.2,5.25,1.215,4.2,1.21
3,Hobart,Moorilla Hobart International,2007-01-11,Tier 4,Outdoor,Hard,Semifinals,3,Bardina V.,Bammer S.,70.0,56.0,365.5,415.25,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.9,1.8,2.0,1.75,2.05,1.72,2.0,1.909,1.96,1.8
3,Hobart,Moorilla Hobart International,2007-01-11,Tier 4,Outdoor,Hard,Semifinals,3,Chakvetadze A.,Mirza S.,13.0,66.0,1144.0,382.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.39,2.75,1.4,2.8,1.36,3.0,1.408,3.25,1.4,2.85
