WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,1st Round,3,Oprandi R.,Luangnam N.,61.0,211.0,1012.0,273.0,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.44,2.62,1.45,2.65,1.4,2.75,1.34,3.5,1.4,2.75,1.5,3.5,1.42,2.8
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,1st Round,3,Shvedova Y.,Arruabarrena-Vecino L.,29.0,79.0,1526.0,805.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.25,3.75,1.3,3.3,1.25,3.75,1.33,3.62,1.25,3.5,1.33,4.1,1.29,3.47
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,1st Round,3,Barthel M.,Min G.,39.0,182.0,1416.0,342.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.28,3.5,1.25,3.75,1.25,3.75,1.29,3.9,1.25,3.5,1.33,4.33,1.28,3.59
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,1st Round,3,Radwanska A.,Arn G.,4.0,114.0,7425.0,589.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.04,13.0,1.04,9.0,1.06,8.0,1.05,13.11,1.06,7.0,1.1,13.11,1.06,8.93
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,1st Round,3,Erakovic M.,Dubois S.,66.0,140.0,940.0,502.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.66,2.1,1.65,2.15,1.62,2.2,1.81,2.09,1.57,2.25,1.81,2.38,1.65,2.18
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,1st Round,3,Goerges J.,Sevastova A.,18.0,184.0,1965.0,339.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.8,1.36,3.0,1.45,2.96,1.44,2.63,1.83,3.55,1.43,2.78
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,2nd Round,3,Barthel M.,Daniilidou E.,39.0,100.0,1416.0,683.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.2,4.33,1.2,4.25,1.17,4.5,1.23,4.77,1.2,4.0,1.29,5.1,1.21,4.2
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,2nd Round,3,Flipkens K.,Parmentier P.,54.0,65.0,1096.0,950.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.44,2.62,1.5,2.5,1.44,2.62,1.46,2.93,1.53,2.5,1.56,2.93,1.48,2.54
1,Auckland,ASB Classic,2013-01-01,International,Outdoor,Hard,2nd Round,3,Wickmayer Y.,Oprandi R.,23.0,61.0,1680.0,1012.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.5,2.5,1.45,2.65,1.5,2.5,1.55,2.65,1.44,2.63,1.57,2.72,1.5,2.52
1,Auckland,ASB Classic,2013-01-02,International,Outdoor,Hard,2nd Round,3,Larsson J.,Goerges J.,73.0,18.0,860.0,1965.0,7.0,5.0,6.0,7.0,6.0,3.0,2.0,1.0,Completed,3.25,1.33,3.0,1.35,3.4,1.3,3.6,1.34,3.0,1.33,4.0,1.36,3.25,1.33
1,Auckland,ASB Classic,2013-01-02,International,Outdoor,Hard,2nd Round,3,Vesnina E.,Shvedova Y.,68.0,29.0,902.0,1526.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,2.5,1.5,2.25,1.6,2.38,1.53,2.29,1.7,2.25,1.57,3.0,1.7,2.3,1.58
1,Auckland,ASB Classic,2013-01-02,International,Outdoor,Hard,2nd Round,3,Bertens K.,Watson H.,63.0,49.0,956.0,1161.0,6.0,4.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,2.25,1.57,2.25,1.6,2.38,1.53,2.44,1.63,2.25,1.57,2.95,1.67,2.27,1.6
1,Auckland,ASB Classic,2013-01-02,International,Outdoor,Hard,2nd Round,3,Hampton J.,Erakovic M.,70.0,66.0,884.0,940.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.66,2.1,1.7,2.05,1.73,2.0,1.68,2.33,1.73,2.0,1.75,2.4,1.67,2.14
1,Auckland,ASB Classic,2013-01-02,International,Outdoor,Hard,2nd Round,3,Radwanska A.,Halep S.,4.0,47.0,7425.0,1220.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.1,7.0,1.11,5.85,1.1,6.5,1.1,8.5,1.1,6.0,1.14,8.5,1.11,6.21
1,Auckland,ASB Classic,2013-01-02,International,Outdoor,Hard,Quarterfinals,3,Barthel M.,Larsson J.,39.0,73.0,1416.0,860.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.33,3.25,1.35,3.0,1.36,3.0,1.38,3.41,1.36,3.0,1.4,3.5,1.36,3.08
1,Auckland,ASB Classic,2013-01-03,International,Outdoor,Hard,Quarterfinals,3,Wickmayer Y.,Flipkens K.,23.0,54.0,1680.0,1096.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.72,2.0,1.65,2.15,1.57,2.25,1.74,2.26,1.67,2.2,1.8,2.46,1.69,2.12
1,Auckland,ASB Classic,2013-01-03,International,Outdoor,Hard,Quarterfinals,3,Radwanska A.,Vesnina E.,4.0,68.0,7425.0,902.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.12,6.0,1.11,6.0,1.14,5.0,1.13,7.29,1.13,6.0,1.15,8.3,1.12,5.93
1,Auckland,ASB Classic,2013-01-03,International,Outdoor,Hard,Quarterfinals,3,Hampton J.,Bertens K.,70.0,63.0,884.0,956.0,6.0,1.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,1.53,2.37,1.57,2.3,1.67,2.1,1.57,2.6,1.57,2.38,1.68,2.6,1.6,2.29
1,Auckland,ASB Classic,2013-01-03,International,Outdoor,Hard,Semifinals,3,Wickmayer Y.,Barthel M.,23.0,39.0,1680.0,1416.0,6.0,4.0,1.0,6.0,7.0,6.0,2.0,1.0,Completed,2.2,1.61,2.15,1.65,,,2.37,1.67,2.2,1.67,2.44,1.8,2.21,1.64
1,Auckland,ASB Classic,2013-01-04,International,Outdoor,Hard,Semifinals,3,Radwanska A.,Hampton J.,4.0,70.0,7425.0,884.0,7.0,6.0,7.0,6.0,,,2.0,0.0,Completed,1.1,7.0,1.13,5.5,,,1.14,6.92,1.13,6.0,1.15,7.9,1.12,6.04
1,Auckland,ASB Classic,2013-01-05,International,Outdoor,Hard,The Final,3,Radwanska A.,Wickmayer Y.,4.0,23.0,7425.0,1680.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.25,4.0,1.25,3.75,,,1.25,4.5,1.22,4.0,1.29,4.75,1.25,3.87
2,Brisbane,Brisbane International,2012-12-30,International,Outdoor,Hard,1st Round,3,Radwanska U.,Paszek T.,31.0,30.0,1490.0,1523.0,2.0,6.0,6.0,0.0,6.0,2.0,2.0,1.0,Completed,1.53,2.37,1.55,2.35,1.57,2.25,1.61,2.45,1.62,2.2,1.65,2.45,1.59,2.3
2,Brisbane,Brisbane International,2012-12-30,International,Outdoor,Hard,1st Round,3,Gajdosova J.,Vinci R.,183.0,16.0,341.0,2475.0,4.0,6.0,6.0,1.0,6.0,3.0,2.0,1.0,Completed,3.75,1.25,4.25,1.2,4.0,1.22,4.02,1.28,4.0,1.2,4.25,1.33,3.81,1.25
2,Brisbane,Brisbane International,2012-12-30,International,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Hradecka L.,36.0,46.0,1430.0,1224.0,6.0,3.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,1.57,2.25,1.55,2.35,1.62,2.2,1.61,2.45,1.62,2.2,1.62,2.75,1.58,2.31
2,Brisbane,Brisbane International,2012-12-30,International,Outdoor,Hard,1st Round,3,Kvitova P.,Suarez Navarro C.,8.0,34.0,5085.0,1450.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.33,3.25,1.28,3.5,1.25,3.75,1.28,4.06,1.25,3.5,1.33,4.06,1.27,3.58
2,Brisbane,Brisbane International,2012-12-30,International,Outdoor,Hard,1st Round,3,Hantuchova D.,Dominguez Lino L.,32.0,48.0,1470.0,1181.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,1.28,3.5,1.3,3.3,1.33,3.25,1.36,3.42,1.29,3.25,1.38,3.65,1.32,3.25
2,Brisbane,Brisbane International,2012-12-30,International,Outdoor,Hard,1st Round,3,Williams S.,Lepchenko V.,3.0,21.0,9400.0,1835.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.04,13.0,1.03,10.0,1.05,8.5,1.06,11.52,1.04,9.0,1.06,13.0,1.04,10.8
2,Brisbane,Brisbane International,2012-12-31,International,Outdoor,Hard,1st Round,3,Kerber A.,Tatishvili A.,5.0,51.0,5550.0,1140.0,6.0,2.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,1.08,8.0,1.08,7.0,1.08,7.0,1.1,8.33,1.1,6.0,1.11,8.85,1.09,7.04
2,Brisbane,Brisbane International,2012-12-31,International,Outdoor,Hard,1st Round,3,Lisicki S.,Safarova L.,37.0,17.0,1424.0,2125.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.5,2.35,1.55,2.38,1.53,2.6,1.55,2.5,1.5,2.75,1.6,2.49,1.51
2,Brisbane,Brisbane International,2012-12-31,International,Outdoor,Hard,1st Round,3,Cornet A.,Bobusic B.,44.0,331.0,1320.0,133.0,2.0,6.0,6.0,3.0,6.0,1.0,2.0,1.0,Completed,1.33,3.25,1.4,2.8,1.36,3.0,1.44,3.0,1.29,3.25,1.44,3.5,1.35,3.09
2,Brisbane,Brisbane International,2012-12-31,International,Outdoor,Hard,1st Round,3,Errani S.,Puchkova O.,6.0,106.0,5100.0,636.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.1,7.0,1.13,5.5,1.1,6.5,1.14,6.62,1.13,5.5,1.14,7.6,1.11,6.13
2,Brisbane,Brisbane International,2012-12-31,International,Outdoor,Hard,1st Round,3,Pervak K.,Wozniacki C.,103.0,10.0,652.0,3765.0,2.0,6.0,6.0,3.0,7.0,6.0,2.0,1.0,Completed,6.0,1.12,5.0,1.15,5.0,1.14,5.94,1.16,5.0,1.14,7.0,1.2,5.28,1.15
2,Brisbane,Brisbane International,2012-12-31,International,Outdoor,Hard,1st Round,3,Stephens S.,Cibulkova D.,38.0,15.0,1418.0,2495.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,2.37,1.53,2.35,1.55,2.38,1.53,2.52,1.58,2.38,1.53,2.7,1.58,2.45,1.52
2,Brisbane,Brisbane International,2012-12-31,International,Outdoor,Hard,1st Round,3,Puig M.,Rogowska O.,124.0,113.0,564.0,590.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.44,2.62,1.48,2.55,1.44,2.62,1.38,3.3,1.57,2.25,1.59,3.3,1.47,2.63
2,Brisbane,Brisbane International,2012-12-31,International,Outdoor,Hard,1st Round,3,Arvidsson S.,Stosur S.,41.0,9.0,1380.0,4135.0,7.0,6.0,7.0,5.0,,,2.0,0.0,Completed,3.25,1.33,3.3,1.3,3.4,1.3,3.82,1.3,3.75,1.22,3.82,1.39,3.3,1.31
2,Brisbane,Brisbane International,2013-01-01,International,Outdoor,Hard,2nd Round,3,Hantuchova D.,Errani S.,32.0,6.0,1470.0,5100.0,4.0,6.0,6.0,1.0,7.0,5.0,2.0,1.0,Completed,2.75,1.4,3.0,1.35,2.75,1.4,3.4,1.38,2.88,1.4,3.55,1.44,2.95,1.38
2,Brisbane,Brisbane International,2013-01-01,International,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Kvitova P.,36.0,8.0,1430.0,5085.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,3.0,1.36,3.0,1.35,3.0,1.36,3.24,1.4,3.0,1.36,3.35,1.43,2.97,1.37
2,Brisbane,Brisbane International,2013-01-01,International,Outdoor,Hard,2nd Round,3,Pervak K.,Radwanska U.,103.0,31.0,652.0,1490.0,3.0,6.0,6.0,2.0,7.0,6.0,2.0,1.0,Completed,2.25,1.57,2.15,1.65,2.2,1.62,2.29,1.7,2.25,1.62,2.33,1.74,2.18,1.65
2,Brisbane,Brisbane International,2013-01-01,International,Outdoor,Hard,2nd Round,3,Williams S.,Cornet A.,3.0,44.0,9400.0,1320.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.03,15.0,1.03,10.0,1.03,10.0,1.03,17.5,1.04,10.0,1.05,21.0,1.03,12.28
2,Brisbane,Brisbane International,2013-01-02,International,Outdoor,Hard,2nd Round,3,Kerber A.,Puig M.,5.0,124.0,5550.0,564.0,3.0,6.0,6.0,4.0,7.0,6.0,2.0,1.0,Completed,1.12,6.0,1.13,5.5,1.1,6.5,1.13,7.0,1.13,6.0,1.16,7.0,1.13,5.62
2,Brisbane,Brisbane International,2013-01-02,International,Outdoor,Hard,2nd Round,3,Stephens S.,Arvidsson S.,38.0,41.0,1418.0,1380.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.66,2.1,1.75,2.0,1.67,2.1,1.77,2.18,1.73,2.1,1.77,2.2,1.71,2.07
2,Brisbane,Brisbane International,2013-01-02,International,Outdoor,Hard,2nd Round,3,Tsurenko L.,Gajdosova J.,116.0,183.0,581.0,341.0,1.0,6.0,6.0,1.0,6.0,4.0,2.0,1.0,Completed,2.37,1.53,2.35,1.55,2.38,1.53,2.39,1.65,2.38,1.53,2.5,1.65,2.35,1.56
2,Brisbane,Brisbane International,2013-01-02,International,Outdoor,Hard,2nd Round,3,Azarenka V.,Lisicki S.,1.0,37.0,10595.0,1424.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.14,5.5,1.15,5.0,1.14,5.0,1.14,6.97,1.17,5.0,1.17,7.0,1.14,5.3
2,Brisbane,Brisbane International,2013-01-03,International,Outdoor,Hard,Quarterfinals,3,Pavlyuchenkova A.,Kerber A.,36.0,5.0,1430.0,5550.0,7.0,6.0,7.0,6.0,,,2.0,0.0,Completed,2.75,1.4,2.5,1.5,2.62,1.44,2.82,1.51,2.75,1.44,3.15,1.51,2.63,1.46
2,Brisbane,Brisbane International,2013-01-03,International,Outdoor,Hard,Quarterfinals,3,Tsurenko L.,Hantuchova D.,116.0,32.0,581.0,1470.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,3.75,1.25,3.75,1.25,3.75,1.25,4.55,1.25,3.75,1.25,4.55,1.29,3.87,1.25
2,Brisbane,Brisbane International,2013-01-03,International,Outdoor,Hard,Quarterfinals,3,Azarenka V.,Pervak K.,1.0,103.0,10595.0,652.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.03,15.0,1.04,9.0,1.04,9.0,1.03,18.0,1.05,10.0,1.06,18.0,1.04,11.48
2,Brisbane,Brisbane International,2013-01-03,International,Outdoor,Hard,Quarterfinals,3,Williams S.,Stephens S.,3.0,38.0,9400.0,1418.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.03,15.0,1.04,9.0,1.05,8.5,1.04,16.0,1.06,9.0,1.07,16.5,1.04,10.97
2,Brisbane,Brisbane International,2013-01-04,International,Outdoor,Hard,Semifinals,3,Williams S.,Azarenka V.,3.0,1.0,9400.0,10595.0,,,,,,,,,Walkover,1.44,2.62,1.5,2.5,,,1.53,2.74,1.5,2.63,1.6,2.85,1.47,2.62
2,Brisbane,Brisbane International,2013-01-04,International,Outdoor,Hard,Semifinals,3,Pavlyuchenkova A.,Tsurenko L.,36.0,116.0,1430.0,581.0,4.0,6.0,6.0,1.0,6.0,2.0,2.0,1.0,Completed,1.16,5.0,1.2,4.25,,,1.22,4.92,1.2,4.5,1.23,5.28,1.19,4.54
2,Brisbane,Brisbane International,2013-01-05,International,Outdoor,Hard,The Final,3,Williams S.,Pavlyuchenkova A.,3.0,36.0,9400.0,1430.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.07,9.0,1.06,8.0,,,1.07,11.25,1.07,8.0,1.09,11.5,1.07,8.42
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-30,International,Outdoor,Hard,1st Round,3,Beck A.,Muguruza G.,78.0,109.0,810.0,618.0,6.0,2.0,6.0,7.0,6.0,4.0,2.0,1.0,Completed,1.5,2.5,,,1.5,2.5,1.5,2.78,1.44,2.63,1.51,2.8,1.48,2.6
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-30,International,Outdoor,Hard,1st Round,3,Hsieh S.W.,Czink M.,25.0,94.0,1636.0,699.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.28,3.5,,,1.3,3.4,1.3,3.86,1.29,3.25,1.35,3.95,1.29,3.53
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-30,International,Outdoor,Hard,1st Round,3,Niculescu M.,Zheng S.,58.0,138.0,1035.0,511.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.33,3.25,,,1.36,3.0,1.35,3.45,1.33,3.0,1.44,3.45,1.35,3.05
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-30,International,Outdoor,Hard,1st Round,3,Robson L.,Gallovits E.,53.0,107.0,1131.0,623.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.16,5.0,,,1.2,4.33,1.17,5.68,1.25,3.5,1.29,5.68,1.21,4.25
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Jovanovski B.,Cadantu A.,56.0,90.0,1075.0,718.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.22,4.0,1.25,3.75,1.29,3.5,1.28,4.06,1.29,3.25,1.3,4.2,1.26,3.72
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Morita A.,Chan Y.J.,85.0,117.0,745.0,581.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.53,2.37,1.6,2.25,1.67,2.1,1.66,2.35,1.62,2.2,1.77,2.4,1.6,2.27
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Svitolina E.,Peer S.,131.0,74.0,529.0,851.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.37,1.55,2.35,1.57,2.25,1.52,2.69,1.57,2.25,1.64,2.72,1.51,2.5
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Cohen J.,Bratchikova N.,129.0,80.0,543.0,804.0,0.0,6.0,7.0,6.0,7.0,5.0,2.0,1.0,Completed,2.75,1.4,2.65,1.45,2.5,1.5,2.73,1.51,2.75,1.4,3.25,1.51,2.67,1.45
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Chang K.C.,Soler Espinosa S.,86.0,83.0,737.0,775.0,4.0,6.0,6.0,1.0,6.0,3.0,2.0,1.0,Completed,1.5,2.37,1.6,2.25,1.57,2.25,1.59,2.5,1.57,2.25,1.62,2.72,1.56,2.36
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Peng S.,Keothavong A.,40.0,143.0,1380.0,481.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.33,3.25,1.3,3.3,1.29,3.5,1.36,3.38,1.29,3.25,1.36,3.55,1.32,3.31
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Bartoli M.,Chan W.Y.,11.0,357.0,3740.0,116.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.02,17.0,1.03,10.0,1.02,11.0,1.02,20.52,1.03,10.0,1.04,24.0,1.02,14.17
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Voegele S.,Babos T.,92.0,67.0,712.0,916.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.72,2.0,1.75,2.0,1.8,1.91,1.56,2.59,1.73,2.0,1.88,2.59,1.69,2.14
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Zakopalova K.,Hlavackova A.,28.0,64.0,1535.0,950.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.61,2.2,1.75,2.0,1.73,2.0,1.66,2.35,1.67,2.1,1.8,2.35,1.69,2.11
3,Shenzhen,Shenzhen Longgang Gemdale Open,2012-12-31,International,Outdoor,Hard,1st Round,3,Duan Y.Y.,Date Krumm K.,132.0,99.0,526.0,685.0,7.0,6.0,7.0,5.0,,,2.0,0.0,Completed,3.25,1.33,3.0,1.35,3.25,1.33,4.1,1.27,3.0,1.33,4.1,1.4,3.24,1.33
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-01,International,Outdoor,Hard,1st Round,3,Zhou Y.M.,Pegula J.,177.0,150.0,364.0,456.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,,,,,,,,,,,,,,
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-01,International,Outdoor,Hard,1st Round,3,Li N.,Minella M.,7.0,77.0,5095.0,815.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.04,13.0,1.06,8.0,1.04,9.0,1.05,12.39,1.05,8.0,1.07,13.5,1.05,9.45
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-01,International,Outdoor,Hard,2nd Round,3,Zakopalova K.,Svitolina E.,28.0,131.0,1535.0,529.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.37,1.6,2.25,1.53,2.38,1.68,2.34,1.57,2.38,1.68,2.68,1.57,2.35
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-01,International,Outdoor,Hard,2nd Round,3,Jovanovski B.,Duan Y.Y.,56.0,132.0,1075.0,526.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.55,2.65,1.44,2.75,1.55,2.92,1.44,2.7
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-01,International,Outdoor,Hard,2nd Round,3,Niculescu M.,Robson L.,58.0,53.0,1035.0,1131.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,2.37,1.53,2.5,1.5,2.5,1.5,2.53,1.59,2.38,1.57,2.64,1.61,2.45,1.54
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-01,International,Outdoor,Hard,2nd Round,3,Peng S.,Morita A.,40.0,85.0,1380.0,745.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.28,3.5,1.3,3.3,1.29,3.5,1.36,3.48,1.29,3.5,1.36,3.75,1.3,3.42
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-01,International,Outdoor,Hard,2nd Round,3,Beck A.,Hsieh S.W.,78.0,25.0,810.0,1636.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,2.75,1.4,2.65,1.45,2.75,1.4,3.14,1.42,2.63,1.5,3.55,1.55,2.71,1.44
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-02,International,Outdoor,Hard,2nd Round,3,Zhou Y.M.,Chang K.C.,177.0,86.0,364.0,737.0,4.0,6.0,6.0,2.0,7.0,6.0,2.0,1.0,Completed,2.25,1.57,2.5,1.5,2.38,1.53,2.45,1.63,2.25,1.57,2.5,1.67,2.34,1.56
3,Shenzhen,Shenzhen Longgang Gemdale Open,2013-01-02,International,Outdoor,Hard,2nd Round,3,Li N.,Cohen J.,7.0,129.0,5095.0,543.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.02,17.0,1.03,10.0,1.02,11.0,1.03,20.0,,,1.04,20.0,1.03,12.07
